"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|DK2","Without Sequence","2.54","",""
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|DK2","Without Sequence","2.54","",""
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|DK2","Without Sequence","2.54","",""
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|DK2","Without Sequence","2.54","",""
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|DK2","Without Sequence","1.93","",""
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|DK2","Without Sequence","1.93","",""
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|DK2","Without Sequence","1.93","",""
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|DK2","Without Sequence","1.93","",""
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|DK2","Without Sequence","1.93","",""
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|DK2","Without Sequence","1.93","",""
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|DK2","Without Sequence","1.93","",""
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|DK2","Without Sequence","1.93","",""
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|DK2","Without Sequence","1.43","",""
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|DK2","Without Sequence","1.43","",""
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|DK2","Without Sequence","1.43","",""
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|DK2","Without Sequence","1.43","",""
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|DK2","Without Sequence","1.04","",""
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|DK2","Without Sequence","1.04","",""
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|DK2","Without Sequence","1.04","",""
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|DK2","Without Sequence","1.04","",""
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|DK2","Without Sequence","2.28","",""
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|DK2","Without Sequence","2.28","",""
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|DK2","Without Sequence","2.28","",""
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|DK2","Without Sequence","2.28","",""
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|DK2","Without Sequence","1.15","",""
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|DK2","Without Sequence","1.15","",""
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|DK2","Without Sequence","1.15","",""
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|DK2","Without Sequence","1.15","",""
"01/01/2025 07:00:00 - 01/01/2025 07:15:00","BZN|DK2","Without Sequence","1.35","",""
"01/01/2025 07:15:00 - 01/01/2025 07:30:00","BZN|DK2","Without Sequence","1.35","",""
"01/01/2025 07:30:00 - 01/01/2025 07:45:00","BZN|DK2","Without Sequence","1.35","",""
"01/01/2025 07:45:00 - 01/01/2025 08:00:00","BZN|DK2","Without Sequence","1.35","",""
"01/01/2025 08:00:00 - 01/01/2025 08:15:00","BZN|DK2","Without Sequence","2.26","",""
"01/01/2025 08:15:00 - 01/01/2025 08:30:00","BZN|DK2","Without Sequence","2.26","",""
"01/01/2025 08:30:00 - 01/01/2025 08:45:00","BZN|DK2","Without Sequence","2.26","",""
"01/01/2025 08:45:00 - 01/01/2025 09:00:00","BZN|DK2","Without Sequence","2.26","",""
"01/01/2025 09:00:00 - 01/01/2025 09:15:00","BZN|DK2","Without Sequence","2.54","",""
"01/01/2025 09:15:00 - 01/01/2025 09:30:00","BZN|DK2","Without Sequence","2.54","",""
"01/01/2025 09:30:00 - 01/01/2025 09:45:00","BZN|DK2","Without Sequence","2.54","",""
"01/01/2025 09:45:00 - 01/01/2025 10:00:00","BZN|DK2","Without Sequence","2.54","",""
"01/01/2025 10:00:00 - 01/01/2025 10:15:00","BZN|DK2","Without Sequence","3.54","",""
"01/01/2025 10:15:00 - 01/01/2025 10:30:00","BZN|DK2","Without Sequence","3.54","",""
"01/01/2025 10:30:00 - 01/01/2025 10:45:00","BZN|DK2","Without Sequence","3.54","",""
"01/01/2025 10:45:00 - 01/01/2025 11:00:00","BZN|DK2","Without Sequence","3.54","",""
